,Cor,Bias,MAE,MSE,RMSE
z,0.9592003168689034,0.020952121316424783,0.21073493642600802,0.08056524576360796,0.28384017644373033
a,-0.6986666184812639,0.04270316258668768,0.8423108592841129,1.1626435260927912,1.0782594892199147
b,0.47794839861220845,0.11980164868557562,0.5658387949882152,0.565362480671421,0.7519058988140876
z,0.957457509093359,0.04278901725911277,0.23133807875528453,0.09269826472135127,0.30446389723799977
a,0.14530411313527436,0.505570971797902,0.6919042801983311,0.6609492759174705,0.8129878694774422
b,0.8992289809448538,0.22745093567718178,0.25881621732125754,0.13417247067429133,0.36629560558965396
z,0.9590258795458186,-0.004213653505810323,0.20990978525093745,0.0789682195367623,0.2810128458571997
a,-0.1858406395528584,0.38638027920673157,0.647207541843488,0.6030263412762837,0.7765477070188822
b,0.6946000654189614,0.1090422728203149,0.3315881251595483,0.2822465683835632,0.531268828733216
z,0.9545200830275329,0.09521029621266504,0.2334821382533051,0.09921536985302078,0.3149847136815067
a,0.471956982989994,-0.3213404493843529,0.41835939263813127,0.304598776672383,0.5519046807849912
b,0.787304483093459,0.3284352713989626,0.3573587504398127,0.2974369642205063,0.5453778178662076
